交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
107.10.09,11,椰子,104,台北二,31.2,21.3,17.2,22.4,1134
107.10.09,31,釋迦,104,台北二,149.8,99.7,66,103,2122
107.10.09,32,釋迦-鳳梨釋迦,104,台北二,65,61.3,30,55.8,38
107.10.09,50,百香果-其他,104,台北二,76.6,57.2,26.2,54.9,1589
107.10.09,51,百香果-改良種,104,台北二,71.2,51,29.9,50.8,12214
107.10.09,72,小番茄-聖女,104,台北二,150,140.8,80,130.5,391
107.10.09,74,小番茄-玉女,104,台北二,331.4,170.2,81.2,184.6,376
107.10.09,811,火龍果-白肉,104,台北二,45.7,20.9,10.1,23.7,16228
107.10.09,812,火龍果-紅肉,104,台北二,47.2,26.5,11.9,27.7,30833
107.10.09,91,其他,104,台北二,104.9,59.7,16.3,60.1,270
107.10.09,919,其他-進口,104,台北二,93.3,93.3,93.3,93.3,80
107.10.09,A0,香蕉-其他,104,台北二,33.6,26.9,19.4,26.7,752
107.10.09,A1,香蕉,104,台北二,34.1,26.2,19.7,26.5,17308
107.10.09,A2,香蕉-芭蕉,104,台北二,58.9,27.6,10,30.3,2904
107.10.09,A3,香蕉-旦蕉,104,台北二,90,56.2,26.8,57.1,102
107.10.09,B0,鳳梨-其他,104,台北二,12.5,11.3,10,11.3,2896
107.10.09,B2,鳳梨-金鑽鳳梨,104,台北二,27.3,18.1,10.3,18.4,5330
107.10.09,B6,鳳梨-甜蜜蜜,104,台北二,20.1,15.1,10,15.1,981
107.10.09,C1,椪柑,104,台北二,65.9,42.6,25.6,43.9,10499
107.10.09,C6,佛利檬-佛利檬,104,台北二,35,35,35,35,72
107.10.09,C9,椪柑-進口,104,台北二,600,600,600,600,5
107.10.09,E0,甜橙-其他,104,台北二,55,45.1,30.2,44.1,423
107.10.09,E1,甜橙-柳橙,104,台北二,37.6,18.7,12.1,21.1,5580
107.10.09,E9,甜橙-進口,104,台北二,42.1,27.9,22.2,29.6,5185
107.10.09,F0,雜柑-其他,104,台北二,36.5,12,5.7,15.6,518
107.10.09,F1,雜柑-檸檬,104,台北二,26.9,14,7.5,15.3,2445
107.10.09,F4,雜柑-桔子,104,台北二,37.6,27.1,18,27.4,111
107.10.09,F5,雜柑-無子檸檬,104,台北二,37.7,13.8,4.9,16.8,2099
107.10.09,FA1,黃秋葵,104,台北二,113.7,74.8,40.8,75.8,1008
107.10.09,FB11,花椰菜-青梗,104,台北二,73.4,61.1,39.2,59.2,4850
107.10.09,FB9,花椰菜-進口,104,台北二,25,25,25,25,280
107.10.09,FC1,胡瓜-黑刺,104,台北二,39.1,30.1,14.5,28.8,6995
107.10.09,FD0,花胡瓜-其他,104,台北二,50,32.2,23,33.9,123
107.10.09,FD1,花胡瓜,104,台北二,39.9,29,17.5,28.9,16257
107.10.09,FE1,冬瓜-白皮,104,台北二,20.8,16.3,12.3,16.4,1894
107.10.09,FF0,絲瓜-其他,104,台北二,23.9,17.3,9.3,17,1206
107.10.09,FF1,絲瓜-絲瓜,104,台北二,25.4,18.4,11,18.3,26642
107.10.09,FF2,絲瓜-角瓜,104,台北二,44.9,26.7,9.4,26.9,629
107.10.09,FF4,絲瓜-長絲瓜,104,台北二,16,16,16,16,48
107.10.09,FG0,苦瓜-其他,104,台北二,52.7,39.8,29.4,40.3,2122
107.10.09,FG1,苦瓜-白大米,104,台北二,69.7,52.5,37.8,53,4606
107.10.09,FG2,苦瓜-青大米,104,台北二,45.4,40.8,37.3,41,491
107.10.09,FG3,苦瓜-山苦瓜,104,台北二,95,95,95,95,13
107.10.09,FG4,苦瓜-翠綠,104,台北二,48.2,36,28.2,36.9,688
107.10.09,FH3,扁蒲-花蒲,104,台北二,16.7,13.5,7.7,13,3974
107.10.09,FH4,扁蒲-梨子蒲,104,台北二,24.6,15.1,8.4,15.6,7368
107.10.09,FI0,茄子-其他,104,台北二,80,79.1,40,71.4,28
107.10.09,FI1,茄子-胭脂茄,104,台北二,23,23,23,23,24
107.10.09,FI2,茄子-麻荸茄,104,台北二,63.4,39.1,22.1,40.5,6902
107.10.09,FI3,茄子-日本種,104,台北二,28,22.6,20,23.2,145
107.10.09,FJ1,蕃茄-黑柿,104,台北二,125,94.6,57.6,93.3,285
107.10.09,FJ3,蕃茄-牛蕃茄,104,台北二,106.5,80.9,50.7,80,5103
