交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
107.10.16,11,椰子,104,台北二,23.6,18.7,15.9,19.1,1463
107.10.16,31,釋迦,104,台北二,139.4,101.1,60.5,100.7,1875
107.10.16,459,草莓-進口,104,台北二,266.7,266.7,266.7,266.7,105
107.10.16,50,百香果-其他,104,台北二,80.2,56,28.6,55.3,745
107.10.16,51,百香果-改良種,104,台北二,69.9,42.7,23.5,44.3,6753
107.10.16,72,小番茄-聖女,104,台北二,151,124,76.9,120,577
107.10.16,74,小番茄-玉女,104,台北二,300,242.7,70,219.6,294
107.10.16,811,火龍果-白肉,104,台北二,41.8,27.7,14.5,27.9,7201
107.10.16,812,火龍果-紅肉,104,台北二,40.7,27.9,16.6,28.2,20343
107.10.16,91,其他,104,台北二,285.6,82.5,32.1,113,215
107.10.16,919,其他-進口,104,台北二,240,237,226.7,235.6,60
107.10.16,A0,香蕉-其他,104,台北二,27.9,23.2,19.9,23.5,774
107.10.16,A1,香蕉,104,台北二,34.3,28.5,21.6,28.3,15982
107.10.16,A2,香蕉-芭蕉,104,台北二,51.3,24.1,11.2,26.9,4120
107.10.16,A3,香蕉-旦蕉,104,台北二,84.6,65.2,45,65.1,99
107.10.16,B0,鳳梨-其他,104,台北二,14.2,10.2,7,10.4,2313
107.10.16,B2,鳳梨-金鑽鳳梨,104,台北二,34.3,26.1,12,24.9,2112
107.10.16,B6,鳳梨-甜蜜蜜,104,台北二,11.6,9.1,7.4,9.2,2208
107.10.16,B9,鳳梨-進口,104,台北二,33.3,33.3,33.3,33.3,200
107.10.16,C1,椪柑,104,台北二,53.4,35.9,20.9,36.4,13573
107.10.16,C6,佛利檬-佛利檬,104,台北二,25.3,22,21.2,22.5,288
107.10.16,C9,椪柑-進口,104,台北二,560,560,560,560,5
107.10.16,E0,甜橙-其他,104,台北二,35,22.9,18.7,24.5,291
107.10.16,E1,甜橙-柳橙,104,台北二,36.6,20.2,13.8,22.2,3969
107.10.16,E3,甜橙-紅肉柳橙,104,台北二,12,12,12,12,54
107.10.16,E9,甜橙-進口,104,台北二,29.3,25.4,17.6,24.6,2894
107.10.16,F0,雜柑-其他,104,台北二,19.4,11.6,4.4,11.7,603
107.10.16,F1,雜柑-檸檬,104,台北二,32.3,12.4,5,14.9,1890
107.10.16,F4,雜柑-桔子,104,台北二,54.6,28,18.4,31.4,288
107.10.16,F5,雜柑-無子檸檬,104,台北二,30.8,15.3,6.2,16.5,2820
107.10.16,FA1,黃秋葵,104,台北二,104.4,66.6,30.2,66.9,993
107.10.16,FB11,花椰菜-青梗,104,台北二,87.4,71.6,45.7,69.6,5203
107.10.16,FB9,花椰菜-進口,104,台北二,35,34.3,33,34.2,236
107.10.16,FC1,胡瓜-黑刺,104,台北二,34.8,23.5,10.7,23.2,7925
107.10.16,FD0,花胡瓜-其他,104,台北二,45,45,45,45,54
107.10.16,FD1,花胡瓜,104,台北二,43.1,28.7,16.2,29.1,11052
107.10.16,FE1,冬瓜-白皮,104,台北二,18.4,15.4,11.3,15.2,4669
107.10.16,FF0,絲瓜-其他,104,台北二,20.5,13.5,9.4,14.1,725
107.10.16,FF1,絲瓜-絲瓜,104,台北二,26.4,18.4,10,18.3,18822
107.10.16,FF2,絲瓜-角瓜,104,台北二,32.1,25.7,17.3,25.3,385
107.10.16,FF4,絲瓜-長絲瓜,104,台北二,15,15,15,15,25
107.10.16,FG0,苦瓜-其他,104,台北二,35.7,28.3,17.9,27.7,2576
107.10.16,FG1,苦瓜-白大米,104,台北二,58.4,43.4,32.6,44.2,5540
107.10.16,FG2,苦瓜-青大米,104,台北二,33,25.9,18.3,25.8,457
107.10.16,FG4,苦瓜-翠綠,104,台北二,38.8,30.5,18.2,29.7,382
107.10.16,FH3,扁蒲-花蒲,104,台北二,17.5,11.6,5,11.5,2428
107.10.16,FH4,扁蒲-梨子蒲,104,台北二,23.9,15.2,9,15.7,5849
107.10.16,FI0,茄子-其他,104,台北二,75,69.9,60,68.9,37
107.10.16,FI2,茄子-麻荸茄,104,台北二,63.4,36.1,19.4,38.2,6393
107.10.16,FI3,茄子-日本種,104,台北二,21.1,13.4,10.5,14.4,237
107.10.16,FJ1,蕃茄-黑柿,104,台北二,75,71.5,60,69.9,34
107.10.16,FJ3,蕃茄-牛蕃茄,104,台北二,115.9,87.9,66.8,89.3,6349
107.10.16,FK3,甜椒-新香,104,台北二,30,30,30,30,9
107.10.16,FK4,甜椒-彩色種,104,台北二,172.4,97.6,49,102.8,871
107.10.16,FK5,甜椒-青椒,104,台北二,75.1,45.8,24.9,47.5,3259
107.10.16,FL2,豌豆-紅花,104,台北二,170,170,134.3,162.9,140
107.10.16,FL5,豌豆-豌豆苗,104,台北二,150,150,150,150,26
107.10.16,FL6,豌豆-甜豌豆,104,台北二,197.9,188.8,120,176.8,285
107.10.16,FM2,菜豆-青色,104,台北二,70.3,63.6,43.2,60.8,1652
107.10.16,FN1,敏豆-白豆,104,台北二,152.9,110.5,45.8,106,2933
107.10.16,FN4,敏豆-翼豆,104,台北二,23,22.1,17.3,21.3,286
107.10.16,FN5,敏豆-醜豆,104,台北二,128.1,102.2,61.8,99.3,526
107.10.16,FQ1,毛豆-豆莢,104,台北二,70,70,70,70,30
107.10.16,FQ2,毛豆-豆仁,104,台北二,210,210,210,210,44
107.10.16,FR1,青花苔,104,台北二,57,39.7,33.6,42,416
107.10.16,FR9,青花苔-進口,104,台北二,100,86.5,26.7,77.3,4366
107.10.16,FS2,越瓜-加工,104,台北二,40,40,40,40,100
107.10.16,FT0,南瓜-其他,104,台北二,25.9,25,25,25.2,212
107.10.16,FT1,南瓜-木瓜形,104,台北二,40.6,29.6,14.9,28.9,2421
107.10.16,FT2,南瓜-圓形,104,台北二,37,34.1,29.1,33.7,602
107.10.16,FT3,南瓜-黃如意,104,台北二,65,50.8,20,47.5,40
107.10.16,FT5,南瓜-青如意,104,台北二,86.7,72.6,15,63.9,451
107.10.16,FT7,南瓜-栗子,104,台北二,60,37,20,38.2,99
107.10.16,FU1,隼人瓜,104,台北二,15.8,13.3,9.6,13.1,1211
107.10.16,FU2,隼人瓜苗-瓜苗,104,台北二,81.8,65.7,51.1,66,1790
107.10.16,FU3,石蓮花,104,台北二,30,27.5,25,27.5,20
107.10.16,FV0,辣椒-其他,104,台北二,200,200,200,200,5
107.10.16,FV1,辣椒-紅小,104,台北二,150,116.2,41.7,108.1,383
107.10.16,FV2,辣椒-青小,104,台北二,60,46.4,30,45.9,111
107.10.16,FV4,辣椒-朝天椒,104,台北二,140.7,115.4,95.7,116.5,784
107.10.16,FV6,辣椒-糯米椒,104,台北二,122.8,71.8,44.2,76.5,521
107.10.16,FV9,辣椒-進口,104,台北二,60,53.8,50,54.3,140
107.10.16,FW2,洛神花,104,台北二,50,39.4,35,40.6,205
107.10.16,FY1,玉米-白玉米,104,台北二,26,23.7,20,23.4,78
107.10.16,FY3,玉米-超甜白,104,台北二,38.2,30.4,16.3,29.2,1860
107.10.16,FY4,玉米-玉米筍,104,台北二,66.9,43.2,23,43.9,585
107.10.16,FY6,玉米-甜軟殼,104,台北二,42.5,25.7,14.3,26.8,3212
107.10.16,FY7,玉米-糯米(白),104,台北二,44,27.7,12.8,28,230
107.10.16,FY9,玉米-進口,104,台北二,140,136.1,114.1,132.5,1068
107.10.16,FZ1,落花生-生落花生,104,台北二,83.5,43.9,37.6,50.5,315
107.10.16,FZ2,落花生-熟落花生,104,台北二,85,47.5,10,47.5,120
107.10.16,G2,黃金果,104,台北二,84,75.3,45,71,30
107.10.16,G3,酪梨,104,台北二,122,85.6,68,89.3,2173
107.10.16,G39,酪梨-進口,104,台北二,144.5,133.3,133.3,135.6,360
107.10.16,G49,奇異果-進口,104,台北二,80.6,50.7,14.9,49.5,5642
107.10.16,G6,香櫞-佛手,104,台北二,35,30.3,30,31.2,52
107.10.16,G7,橄欖,104,台北二,10,10,10,10,39
107.10.16,H1,文旦柚-文旦柚,104,台北二,22.6,8.3,4.2,10.3,2178
107.10.16,H2,柚子-白柚,104,台北二,18.7,7.3,5,9.1,805
107.10.16,H3,柚子-紅柚,104,台北二,7,7,7,7,108
107.10.16,H4,葡萄柚-紅肉,104,台北二,13,6.2,3,6.9,296
107.10.16,H41,葡萄柚-紅寶石,104,台北二,15,14.7,13.6,14.5,586
107.10.16,H49,葡萄柚-進口紅肉,104,台北二,20.6,17.8,17.8,18.3,1070
107.10.16,H5,葡萄柚-白肉,104,台北二,5.7,4.9,3.6,4.8,1340
107.10.16,H6,西施柚-西施柚,104,台北二,21.4,10,9.3,12.2,567
107.10.16,I1,木瓜-網室紅肉,104,台北二,78.8,64.5,37.2,61.9,5570
107.10.16,I3,木瓜-日昇種,104,台北二,70,61.7,45,60,120
107.10.16,I4,木瓜-青木瓜,104,台北二,12.8,8.2,4,8.2,1021
107.10.16,K2,龍眼-十月眼,104,台北二,75.6,50.1,29.3,51,567
107.10.16,K3,龍眼-粉殼,104,台北二,45,40.6,32,39.8,264
107.10.16,K4,龍眼-龍眼乾帶殼,104,台北二,100,83,50,79.8,104
107.10.16,K41,龍眼-龍眼肉,104,台北二,230,230,230,230,40
107.10.16,LA1,甘藍-初秋,104,台北二,47.2,31.6,25.5,33.5,18665
107.10.16,LA2,甘藍-改良種,104,台北二,30.6,24.4,14.1,23.6,64847
107.10.16,LA6,甘藍-甘藍芽,104,台北二,88,78.8,53,75.5,56
107.10.16,LA7,甘藍-改良尖,104,台北二,24,24,24,24,1080
107.10.16,LA9,甘藍-進口,104,台北二,15.6,13.1,7.9,12.5,6954
107.10.16,LB0,小白菜-其他,104,台北二,12,10,10,10.4,100
107.10.16,LB12,小白菜-土白菜,104,台北二,24.1,15.9,10.4,16.5,2370
107.10.16,LB22,小白菜-蚵仔白,104,台北二,14.1,10.1,6.1,10.1,12165
107.10.16,LB3,小白菜-奶油白,104,台北二,50,36.4,25,36.8,76
107.10.16,LB8,小白菜-水耕,104,台北二,40,31.8,25,32.1,76
107.10.16,LC0,包心白菜-其他,104,台北二,45.5,20.6,11.9,23.9,1380
107.10.16,LC1,包心白菜-包白,104,台北二,20.8,11.9,3.7,12,33024
107.10.16,LC3,包心白菜-包頭蓮,104,台北二,11,11,11,11,200
107.10.16,LC9,包心白-進口,104,台北二,21.4,12.8,7.8,13.5,5490
107.10.16,LD1,青江白菜-小梗,104,台北二,15,9.8,4.7,9.8,10070
107.10.16,LE1,皇宮菜-小葉,104,台北二,64.9,32.4,11.8,34.8,962
107.10.16,LE2,皇宮菜-大葉,104,台北二,25,21.5,10,19.9,38
107.10.16,LF2,蕹菜-小葉,104,台北二,37.6,27.1,17.6,27.3,7822
107.10.16,LF3,蕹菜-水蕹菜,104,台北二,52,52,52,52,225
107.10.16,LG2,芹菜-白梗,104,台北二,67.6,42.4,27.6,44.5,3635
107.10.16,LG8,芹菜-水耕,104,台北二,35,35,35,35,45
107.10.16,LG9,芹菜-進口,104,台北二,40,36.3,34,36.6,964
107.10.16,LH1,菠菜-圓葉,104,台北二,113.1,74.9,41.6,75.9,547
107.10.16,LH2,菠菜-角葉,104,台北二,72.5,47.5,32,49.4,3157
107.10.16,LI0,萵苣菜-其他,104,台北二,100,100,45.7,89.1,233
107.10.16,LI1,萵苣菜-廣東萵,104,台北二,27.9,11,5.7,13.3,322
107.10.16,LI3,萵苣菜-本島圓葉,104,台北二,26.7,18.8,11.6,18.9,6566
107.10.16,LI4,萵苣菜-本島尖葉,104,台北二,40.8,36.1,18.5,33.5,1015
107.10.16,LI5,萵苣菜-油麥菜,104,台北二,15.9,10.4,5.4,10.5,12790
107.10.16,LI6,萵苣菜-蘿美,104,台北二,95,95,95,95,216
107.10.16,LI7,萵苣菜-紅捲綠捲,104,台北二,10,8.9,5,8.3,45
107.10.16,LI8,萵苣菜-水耕,104,台北二,79.1,65.4,44.4,63.9,1620
107.10.16,LI9,萵苣菜-進口,104,台北二,56.2,42.8,19.2,40.7,5048
107.10.16,LJ1,芥菜-芥菜仁,104,台北二,25,25,25,25,300
107.10.16,LJ3,芥菜-大芥菜,104,台北二,26.2,14,7.6,15.2,7728
107.10.16,LJ4,芥菜-小芥菜,104,台北二,29.3,20.5,11.7,20.5,1404
107.10.16,LK2,芥藍菜,104,台北二,16.1,9.7,4.7,10,3869
107.10.16,LK3,芥藍菜-芥藍芽,104,台北二,110,74.5,46.8,76,1494
