交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
107.10.04,11,椰子,104,台北二,31.9,30,29,30.2,558
107.10.04,129,椰子-進口剝殼,104,台北二,29.2,29.1,25,28.3,1488
107.10.04,31,釋迦,104,台北二,138,98.9,70.7,101.1,960
107.10.04,32,釋迦-鳳梨釋迦,104,台北二,57,55.5,55,55.7,23
107.10.04,459,草莓-進口,104,台北二,266.7,266.7,266.7,266.7,60
107.10.04,50,百香果-其他,104,台北二,69.9,54.3,28.5,52.3,855
107.10.04,51,百香果-改良種,104,台北二,65.3,39,28.2,42.1,6671
107.10.04,72,小番茄-聖女,104,台北二,109.8,98.2,71,95.1,552
107.10.04,74,小番茄-玉女,104,台北二,239.1,130.2,67.9,139.5,582
107.10.04,811,火龍果-白肉,104,台北二,42.2,21.8,10.3,23.6,11123
107.10.04,812,火龍果-紅肉,104,台北二,45.3,25.3,11.9,26.6,20610
107.10.04,91,其他,104,台北二,187.1,83.2,29.9,93.3,101
107.10.04,919,其他-進口,104,台北二,113.3,85.3,66.7,87.1,140
107.10.04,A0,香蕉-其他,104,台北二,26.5,20.4,9.8,19.5,580
107.10.04,A1,香蕉,104,台北二,25.6,21.5,13,20.6,16307
107.10.04,A2,香蕉-芭蕉,104,台北二,46.9,20.6,10,23.7,1890
107.10.04,A3,香蕉-旦蕉,104,台北二,62.1,48.7,36.2,48.9,114
107.10.04,B0,鳳梨-其他,104,台北二,12.5,10.2,8.2,10.3,4385
107.10.04,B2,鳳梨-金鑽鳳梨,104,台北二,27.4,20.3,15.5,20.8,7018
107.10.04,B6,鳳梨-甜蜜蜜,104,台北二,13,12.1,10.3,11.9,449
107.10.04,C1,椪柑,104,台北二,61.6,43,23.1,42.8,3782
107.10.04,C9,椪柑-進口,104,台北二,344,100,100,148.8,672
107.10.04,E0,甜橙-其他,104,台北二,55,52.7,40,50.6,170
107.10.04,E1,甜橙-柳橙,104,台北二,34.5,20.5,13.6,21.9,1372
107.10.04,E9,甜橙-進口,104,台北二,85.6,54.3,29.6,55.6,1258
107.10.04,F0,雜柑-其他,104,台北二,14.9,10.9,5,10.5,1126
107.10.04,F1,雜柑-檸檬,104,台北二,25.9,14.5,5.3,14.9,1578
107.10.04,F4,雜柑-桔子,104,台北二,45.9,34.8,26,35.3,284
107.10.04,F5,雜柑-無子檸檬,104,台北二,55.3,20.6,9.1,25.3,1455
107.10.04,FA1,黃秋葵,104,台北二,130,81.7,24.2,79.8,411
107.10.04,FB11,花椰菜-青梗,104,台北二,71.3,48.5,29.6,49.3,4696
107.10.04,FB9,花椰菜-進口,104,台北二,26,26,26,26,210
107.10.04,FC1,胡瓜-黑刺,104,台北二,40.8,27.9,11.7,27.3,4855
107.10.04,FD0,花胡瓜-其他,104,台北二,45,33.3,25,34,105
107.10.04,FD1,花胡瓜,104,台北二,43,31.2,18.8,31.1,9267
107.10.04,FE1,冬瓜-白皮,104,台北二,20.1,17.3,12.2,16.9,2718
107.10.04,FE2,冬瓜-青皮,104,台北二,10,10,10,10,20
107.10.04,FF0,絲瓜-其他,104,台北二,33,27.8,19.1,27.1,528
107.10.04,FF1,絲瓜-絲瓜,104,台北二,28.9,21.9,15.1,22,13770
