交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
107.10.13,11,椰子,104,台北二,30.1,23.8,16.8,23.7,691
107.10.13,129,椰子-進口剝殼,104,台北二,65,64.6,60,63.8,80
107.10.13,31,釋迦,104,台北二,149.8,101.4,55.5,101.9,1297
107.10.13,459,草莓-進口,104,台北二,266.7,266.7,266.7,266.7,90
107.10.13,50,百香果-其他,104,台北二,78.4,53,26.1,52.7,881
107.10.13,51,百香果-改良種,104,台北二,74.3,38.9,22.3,42.7,4381
107.10.13,72,小番茄-聖女,104,台北二,208.7,151.3,85.7,149.7,207
107.10.13,74,小番茄-玉女,104,台北二,327.1,226.9,163.3,234.2,378
107.10.13,811,火龍果-白肉,104,台北二,37.7,21,11.1,22.3,10135
107.10.13,812,火龍果-紅肉,104,台北二,38.4,24.6,12.7,25,19816
107.10.13,91,其他,104,台北二,345.9,57.4,10,105.6,197
107.10.13,919,其他-進口,104,台北二,226.7,158.5,103.1,161,77
107.10.13,A0,香蕉-其他,104,台北二,23.6,17.4,9.9,17.1,452
107.10.13,A1,香蕉,104,台北二,32.9,27,20.5,26.9,12720
107.10.13,A2,香蕉-芭蕉,104,台北二,34,18.4,10.3,19.9,4054
107.10.13,A3,香蕉-旦蕉,104,台北二,65,42.3,25,43.4,155
107.10.13,B0,鳳梨-其他,104,台北二,11.7,9.9,8.9,10.1,2252
107.10.13,B2,鳳梨-金鑽鳳梨,104,台北二,29.2,16.4,9.5,17.6,4727
107.10.13,B6,鳳梨-甜蜜蜜,104,台北二,14.1,10.6,8.3,10.8,1840
107.10.13,C1,椪柑,104,台北二,57.5,34.4,18.3,35.8,10809
107.10.13,C6,佛利檬-佛利檬,104,台北二,33.7,32.5,30,32.2,348
107.10.13,E0,甜橙-其他,104,台北二,50,35.1,18.4,34.7,543
107.10.13,E1,甜橙-柳橙,104,台北二,25.9,16.2,10.7,17,6637
107.10.13,E9,甜橙-進口,104,台北二,65,65,65,65,10
107.10.13,F0,雜柑-其他,104,台北二,24.4,13.6,8.9,14.8,757
107.10.13,F1,雜柑-檸檬,104,台北二,29.9,13.7,7.2,15.6,1072
107.10.13,F4,雜柑-桔子,104,台北二,61.9,37.6,23.6,39.7,249
107.10.13,F5,雜柑-無子檸檬,104,台北二,55.1,26.2,12.1,29.1,1122
107.10.13,FA1,黃秋葵,104,台北二,107,68.5,19.5,66.4,501
107.10.13,FA2,樊花,104,台北二,30,30,30,30,8
107.10.13,FB11,花椰菜-青梗,104,台北二,84.4,72.9,48.6,70.3,2976
107.10.13,FB9,花椰菜-進口,104,台北二,28,28,28,28,350
107.10.13,FC1,胡瓜-黑刺,104,台北二,30,21.5,9.7,20.8,6084
107.10.13,FD0,花胡瓜-其他,104,台北二,20,18.8,18,18.9,70
107.10.13,FD1,花胡瓜,104,台北二,37.1,23.8,12.2,24.2,7881
107.10.13,FE1,冬瓜-白皮,104,台北二,17.3,13.4,7.1,12.9,2336
107.10.13,FE2,冬瓜-青皮,104,台北二,10,10,10,10,80
107.10.13,FF0,絲瓜-其他,104,台北二,16,12.8,9.6,12.8,843
107.10.13,FF1,絲瓜-絲瓜,104,台北二,23.4,15.7,8.9,15.8,13894
107.10.13,FF2,絲瓜-角瓜,104,台北二,29.4,20.7,10,20.3,170
107.10.13,FF4,絲瓜-長絲瓜,104,台北二,13,13,13,13,23
107.10.13,FG0,苦瓜-其他,104,台北二,38.5,29.9,20.1,29.7,1943
107.10.13,FG1,苦瓜-白大米,104,台北二,53.9,42.3,31.8,42.5,3870
107.10.13,FG2,苦瓜-青大米,104,台北二,27.9,24.5,15.8,23.4,330
107.10.13,FG3,苦瓜-山苦瓜,104,台北二,70,70,70,70,14
107.10.13,FG4,苦瓜-翠綠,104,台北二,38.5,27.2,15.9,27.2,362
107.10.13,FH3,扁蒲-花蒲,104,台北二,13.5,11,6.3,10.6,1439
107.10.13,FH4,扁蒲-梨子蒲,104,台北二,20.3,13.9,5.9,13.6,2968
107.10.13,FI0,茄子-其他,104,台北二,55,41.4,30,41.9,59
107.10.13,FI2,茄子-麻荸茄,104,台北二,51.9,29.9,14.4,31.2,6943
107.10.13,FI3,茄子-日本種,104,台北二,19,13.2,10,13.7,207
107.10.13,FJ1,蕃茄-黑柿,104,台北二,85,55.3,25,55.2,51
107.10.13,FJ3,蕃茄-牛蕃茄,104,台北二,108.5,87,59.8,85.8,5218
107.10.13,FK0,甜椒-其他,104,台北二,190,190,190,190,30
107.10.13,FK4,甜椒-彩色種,104,台北二,158.4,90.5,39.2,93.9,1187
107.10.13,FK5,甜椒-青椒,104,台北二,69.4,29.9,10,33.8,2578
107.10.13,FL2,豌豆-紅花,104,台北二,170,170,170,170,100
107.10.13,FL5,豌豆-豌豆苗,104,台北二,150,150,150,150,10
107.10.13,FL6,豌豆-甜豌豆,104,台北二,190,169.1,120,163.5,260
107.10.13,FL9,豌豆-進口,104,台北二,130,111,110,114.6,260
107.10.13,FM1,菜豆-白色,104,台北二,15,15,15,15,21
107.10.13,FM2,菜豆-青色,104,台北二,66.6,58.3,40,56.3,936
107.10.13,FN1,敏豆-白豆,104,台北二,145.4,95.9,44.9,95.6,2249
107.10.13,FN4,敏豆-翼豆,104,台北二,20,18.6,14.1,18,206
107.10.13,FN5,敏豆-醜豆,104,台北二,106.5,63,42.3,67.5,408
107.10.13,FP1,萊豆-豆莢,104,台北二,165,165,165,165,25
107.10.13,FQ1,毛豆-豆莢,104,台北二,70,70,70,70,30
107.10.13,FQ2,毛豆-豆仁,104,台北二,210,210,210,210,60
107.10.13,FR1,青花苔,104,台北二,35.3,25,24,26.9,290
