交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
107.10.10,11,椰子,104,台北二,31,24.2,16.5,24.1,672
107.10.10,129,椰子-進口剝殼,104,台北二,80,62.7,60,65.6,160
107.10.10,31,釋迦,104,台北二,131.9,98.4,68,99,789
107.10.10,459,草莓-進口,104,台北二,266.7,266.7,266.7,266.7,90
107.10.10,50,百香果-其他,104,台北二,73.4,57,37.7,56.4,1350
107.10.10,51,百香果-改良種,104,台北二,77.8,45.8,26.3,48.3,4846
107.10.10,72,小番茄-聖女,104,台北二,190,149.8,84.2,144.7,434
107.10.10,74,小番茄-玉女,104,台北二,325,190.1,75.8,194.3,360
107.10.10,811,火龍果-白肉,104,台北二,47.3,19.9,9.3,23.2,13294
107.10.10,812,火龍果-紅肉,104,台北二,43.4,25.3,12.4,26.3,26702
107.10.10,91,其他,104,台北二,217.6,65.8,15.1,86,104
107.10.10,919,其他-進口,104,台北二,113.3,113.3,113.3,113.3,40
107.10.10,A0,香蕉-其他,104,台北二,31.5,23,13.6,22.8,500
107.10.10,A1,香蕉,104,台北二,28.6,25.5,16.9,24.4,15435
107.10.10,A2,香蕉-芭蕉,104,台北二,50.3,28.7,11.9,29.7,1986
107.10.10,A3,香蕉-旦蕉,104,台北二,80,80,52,74.4,25
107.10.10,B0,鳳梨-其他,104,台北二,12.7,10.9,9.9,11.1,3215
107.10.10,B2,鳳梨-金鑽鳳梨,104,台北二,31.7,21.1,15.2,22.1,1390
107.10.10,B6,鳳梨-甜蜜蜜,104,台北二,16.8,13.2,11,13.5,1468
107.10.10,C1,椪柑,104,台北二,57.5,38.1,22.6,38.9,9361
107.10.10,C9,椪柑-進口,104,台北二,633.3,633.3,633.3,633.3,6
107.10.10,E0,甜橙-其他,104,台北二,52,48.2,35,46.3,180
107.10.10,E1,甜橙-柳橙,104,台北二,39.8,21.8,13.4,23.7,2750
107.10.10,E3,甜橙-紅肉柳橙,104,台北二,14.7,12.2,12,12.7,216
107.10.10,E9,甜橙-進口,104,台北二,62,28.4,22.2,33.9,1700
107.10.10,F0,雜柑-其他,104,台北二,40,13,5,16.8,366
107.10.10,F1,雜柑-檸檬,104,台北二,30.1,11.8,5,14.1,1089
107.10.10,F4,雜柑-桔子,104,台北二,48.3,41.6,40,42.6,198
107.10.10,F5,雜柑-無子檸檬,104,台北二,44.6,20.5,8.4,22.9,798
107.10.10,F9,雜柑-進口,104,台北二,66.7,66.7,66.7,66.7,270
107.10.10,FA1,黃秋葵,104,台北二,106.4,65.4,35.5,67.6,741
107.10.10,FA9,百果-進口,104,台北二,250,250,250,250,20
107.10.10,FB11,花椰菜-青梗,104,台北二,77.6,65,41.9,62.9,3209
107.10.10,FB9,花椰菜-進口,104,台北二,32,32,32,32,65
