交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
107.10.30,11,椰子,104,台北二,15.4,13.9,11.6,13.8,1274
107.10.30,31,釋迦,104,台北二,137.2,81.5,49.1,86.1,2338
107.10.30,50,百香果-其他,104,台北二,87.9,46.7,20,49.6,307
107.10.30,51,百香果-改良種,104,台北二,82.9,48.2,29.4,51.3,4065
107.10.30,70,小番茄-其他,104,台北二,95,95,80,92,30
107.10.30,72,小番茄-聖女,104,台北二,119.5,95.9,75.3,96.5,1387
107.10.30,74,小番茄-玉女,104,台北二,304,209.3,132.9,213,525
107.10.30,811,火龍果-白肉,104,台北二,84.2,53.6,19.2,52.9,1465
107.10.30,812,火龍果-紅肉,104,台北二,92.1,70.4,45.6,69.8,3018
107.10.30,849,石榴-進口,104,台北二,51.5,46.7,46.7,47.6,1030
107.10.30,91,其他,104,台北二,304.6,69.3,25,107.5,52
107.10.30,919,其他-進口,104,台北二,240,240,240,240,20
107.10.30,A0,香蕉-其他,104,台北二,36.3,29.9,12.4,27.7,514
107.10.30,A1,香蕉,104,台北二,46.6,40.5,23.8,38.4,12346
107.10.30,A2,香蕉-芭蕉,104,台北二,56.1,24.1,14.4,28.6,3871
107.10.30,A3,香蕉-旦蕉,104,台北二,90.9,65.1,47.6,66.8,108
107.10.30,B0,鳳梨-其他,104,台北二,14.5,12.7,11.1,12.8,1304
107.10.30,B2,鳳梨-金鑽鳳梨,104,台北二,38.4,29.4,19.4,29.2,1532
107.10.30,B9,鳳梨-進口,104,台北二,33.3,33.3,33.3,33.3,300
107.10.30,C1,椪柑,104,台北二,44,27.2,13.4,27.8,31656
107.10.30,C9,椪柑-進口,104,台北二,266.7,266.7,266.7,266.7,10
107.10.30,E0,甜橙-其他,104,台北二,41.7,18.6,16.4,22.8,350
107.10.30,E1,甜橙-柳橙,104,台北二,27.9,19,11.2,19.2,13551
107.10.30,E9,甜橙-進口,104,台北二,36.1,25.5,22.2,27,3760
107.10.30,F0,雜柑-其他,104,台北二,28,16.9,10,17.7,214
107.10.30,F1,雜柑-檸檬,104,台北二,30.7,16,5.6,16.8,2512
107.10.30,F2,雜柑-金棗,104,台北二,20,16.1,15,16.7,90
107.10.30,F4,雜柑-桔子,104,台北二,89,61.5,15.2,57.7,126
107.10.30,F5,雜柑-無子檸檬,104,台北二,57,27.6,8.6,29.7,1768
107.10.30,FA1,黃秋葵,104,台北二,82,45.7,11.6,46.2,867
107.10.30,FB11,花椰菜-青梗,104,台北二,61.6,42.3,26.6,43,10442
107.10.30,FC1,胡瓜-黑刺,104,台北二,14.5,9.8,4.8,9.7,11430
107.10.30,FD1,花胡瓜,104,台北二,32.6,20.7,10.9,21.1,13706
107.10.30,FE1,冬瓜-白皮,104,台北二,14.6,10.6,7.3,10.7,1242
107.10.30,FE2,冬瓜-青皮,104,台北二,12.7,6.1,6,7.4,287
107.10.30,FF0,絲瓜-其他,104,台北二,38.2,21.2,13,23,405
107.10.30,FF1,絲瓜-絲瓜,104,台北二,23.9,16.6,12.3,17.2,15645
107.10.30,FF2,絲瓜-角瓜,104,台北二,70,21.8,16,30.3,74
107.10.30,FG0,苦瓜-其他,104,台北二,30.2,23,17.3,23.3,3135
107.10.30,FG1,苦瓜-白大米,104,台北二,52.5,39.9,25.3,39.5,5305
107.10.30,FG2,苦瓜-青大米,104,台北二,22,21.1,21,21.3,52
107.10.30,FG4,苦瓜-翠綠,104,台北二,49.6,29.1,15.8,30.6,329
107.10.30,FH3,扁蒲-花蒲,104,台北二,9.4,5.7,2.9,5.9,1681
107.10.30,FH4,扁蒲-梨子蒲,104,台北二,11.1,9,5.2,8.7,6935
107.10.30,FI0,茄子-其他,104,台北二,68,32,10,34.8,115
107.10.30,FI1,茄子-胭脂茄,104,台北二,32,26.1,16.9,25.4,440
107.10.30,FI2,茄子-麻荸茄,104,台北二,51.9,28,11.1,29.4,5534
107.10.30,FI3,茄子-日本種,104,台北二,13,10.3,7,10.2,64
107.10.30,FJ1,蕃茄-黑柿,104,台北二,100,79.6,22.9,72.3,671
107.10.30,FJ3,蕃茄-牛蕃茄,104,台北二,80.2,59.1,34,58.3,8922
107.10.30,FK4,甜椒-彩色種,104,台北二,154.9,68.1,16.7,75.2,1853
107.10.30,FK5,甜椒-青椒,104,台北二,64.6,31.7,17.3,35.4,3234
107.10.30,FL2,豌豆-紅花,104,台北二,190,163.9,86.4,153.6,119
107.10.30,FL5,豌豆-豌豆苗,104,台北二,150,150,150,150,54
107.10.30,FL6,豌豆-甜豌豆,104,台北二,190,136.4,92.1,138.3,472
107.10.30,FM2,菜豆-青色,104,台北二,68.7,55.3,30.9,53.1,1284
107.10.30,FN1,敏豆-白豆,104,台北二,114.9,79.1,40.6,78.6,3933
107.10.30,FN4,敏豆-翼豆,104,台北二,23,20.9,14.4,20.1,327
107.10.30,FN5,敏豆-醜豆,104,台北二,86.1,63.6,30.4,61.4,1731
107.10.30,FP1,萊豆-豆莢,104,台北二,180,175.8,170,175.5,42
107.10.30,FQ1,毛豆-豆莢,104,台北二,70,65,54,63.8,100
107.10.30,FQ2,毛豆-豆仁,104,台北二,210,210,210,210,60
107.10.30,FR1,青花苔,104,台北二,80.2,63.4,43.4,62.7,1815
107.10.30,FR9,青花苔-進口,104,台北二,100,88.9,35.4,80.4,3966
107.10.30,FS2,越瓜-加工,104,台北二,40,40,40,40,60
107.10.30,FT1,南瓜-木瓜形,104,台北二,28.6,20.6,12.5,20.6,4666
107.10.30,FT2,南瓜-圓形,104,台北二,28.6,20.4,10,19.9,1521
107.10.30,FT3,南瓜-黃如意,104,台北二,60,46.3,45,48.8,40
107.10.30,FT5,南瓜-青如意,104,台北二,63.8,44.1,15.2,42.2,998
107.10.30,FT7,南瓜-栗子,104,台北二,55,50,45,50,180
107.10.30,FT9,南瓜-進口,104,台北二,32.2,17.2,12,19.2,932
107.10.30,FU1,隼人瓜,104,台北二,13.4,10.6,6.5,10.3,1956
107.10.30,FU2,隼人瓜苗-瓜苗,104,台北二,71,59.1,46.2,58.9,1382
107.10.30,FU3,石蓮花,104,台北二,20,20,20,20,10
107.10.30,FV0,辣椒-其他,104,台北二,60,56.9,50,56.2,13
107.10.30,FV1,辣椒-紅小,104,台北二,149.3,80.2,36.8,85.3,643
107.10.30,FV2,辣椒-青小,104,台北二,54.5,42.3,32.8,42.8,158
107.10.30,FV3,辣椒-雞心,104,台北二,120,105,75,102,5
107.10.30,FV4,辣椒-朝天椒,104,台北二,86.4,67.8,50.4,68.1,961
107.10.30,FV6,辣椒-糯米椒,104,台北二,74.2,64.3,38.7,61.2,415
107.10.30,FV9,辣椒-進口,104,台北二,50,50,50,50,60
107.10.30,FW2,洛神花,104,台北二,37.9,27.9,25,29.3,1276
107.10.30,FY0,玉米-其他,104,台北二,15,15,15,15,17
107.10.30,FY3,玉米-超甜白,104,台北二,79,56.3,44.5,58.5,380
107.10.30,FY4,玉米-玉米筍,104,台北二,29.7,15.7,7.8,16.9,1276
107.10.30,FY5,玉米-糯米(黑),104,台北二,45,30.5,16.8,30.7,120
107.10.30,FY6,玉米-甜軟殼,104,台北二,46.5,33.6,16.7,32.8,3160
107.10.30,FY7,玉米-糯米(白),104,台北二,56,40.2,23,39.9,325
107.10.30,FY9,玉米-進口,104,台北二,206.1,173.6,64.7,158.3,438
107.10.30,FZ1,落花生-生落花生,104,台北二,86.4,50.8,45.9,56.9,183
107.10.30,FZ2,落花生-熟落花生,104,台北二,85,79.9,10,66.9,166
107.10.30,G2,黃金果,104,台北二,260.5,158.9,85,164.4,51
107.10.30,G3,酪梨,104,台北二,108.8,89.2,72.1,89.7,856
107.10.30,G39,酪梨-進口,104,台北二,133.3,133.3,133.3,133.3,100
107.10.30,G49,奇異果-進口,104,台北二,103.1,76.2,35.4,73.4,6731
107.10.30,G6,香櫞-佛手,104,台北二,40,40,40,40,24
107.10.30,G7,橄欖,104,台北二,18,16.5,15,16.5,44
107.10.30,H1,文旦柚-文旦柚,104,台北二,20,20,14.3,18.9,378
107.10.30,H2,柚子-白柚,104,台北二,27.4,11,7.2,13.5,1031
107.10.30,H3,柚子-紅柚,104,台北二,13.3,9.6,6.4,9.7,1617
107.10.30,H41,葡萄柚-紅寶石,104,台北二,19.1,11,5,11.4,1262
107.10.30,H5,葡萄柚-白肉,104,台北二,10.9,6.1,5,6.8,365
107.10.30,H6,西施柚-西施柚,104,台北二,20,10.1,5.4,11.2,1061
107.10.30,I0,木瓜-其他,104,台北二,25,25,25,25,12
107.10.30,I1,木瓜-網室紅肉,104,台北二,90.7,59.4,34.2,60.6,8686
107.10.30,I2,木瓜-一般紅肉,104,台北二,35,20.5,11.5,21.6,123
107.10.30,I3,木瓜-日昇種,104,台北二,224.3,155.5,75.7,153.3,210
107.10.30,I4,木瓜-青木瓜,104,台北二,10.8,6.7,4.6,7.1,1669
107.10.30,K2,龍眼-十月眼,104,台北二,61.4,53.3,40.8,52.4,538
107.10.30,K3,龍眼-粉殼,104,台北二,35,35,35,35,84
107.10.30,K4,龍眼-龍眼乾帶殼,104,台北二,175.3,102.1,55.7,107.5,457
107.10.30,K41,龍眼-龍眼肉,104,台北二,230,230,230,230,40
107.10.30,LA1,甘藍-初秋,104,台北二,37,20.7,12.7,22.4,18487
107.10.30,LA2,甘藍-改良種,104,台北二,16.3,11.6,6.6,11.6,72935
107.10.30,LA4,甘藍-紫色,104,台北二,25,25,25,25,40
107.10.30,LA5,甘藍-甘藍心,104,台北二,39.4,30.4,24,30.9,411
107.10.30,LA6,甘藍-甘藍芽,104,台北二,45,42.3,29.4,40.3,151
107.10.30,LA7,甘藍-改良尖,104,台北二,23.9,14.3,11,15.6,10845
107.10.30,LA9,甘藍-進口,104,台北二,11,11,11,11,1200
107.10.30,LB12,小白菜-土白菜,104,台北二,20,15.2,9.3,15,2180
107.10.30,LB22,小白菜-蚵仔白,104,台北二,14.4,10.9,7.2,10.9,13761
107.10.30,LB3,小白菜-奶油白,104,台北二,50,13.5,11,20.3,130
107.10.30,LB8,小白菜-水耕,104,台北二,32,32,24.5,30.5,84
107.10.30,LC0,包心白菜-其他,104,台北二,56,14.8,5.3,21.1,1985
107.10.30,LC1,包心白菜-包白,104,台北二,14.3,11.1,6.9,10.9,28981
107.10.30,LC9,包心白-進口,104,台北二,28,14.4,13,16.8,2250
107.10.30,LD1,青江白菜-小梗,104,台北二,18.8,12.8,8.7,13.2,8518
107.10.30,LE1,皇宮菜-小葉,104,台北二,64.1,42.8,16.6,41.8,564
107.10.30,LE2,皇宮菜-大葉,104,台北二,37,22.2,19.5,24.6,24
107.10.30,LF1,蕹菜-大葉,104,台北二,20,20,20,20,6
107.10.30,LF2,蕹菜-小葉,104,台北二,38.6,24.3,16.1,25.5,7552
107.10.30,LF3,蕹菜-水蕹菜,104,台北二,47,47,47,47,150
107.10.30,LG2,芹菜-白梗,104,台北二,54.6,46.7,21.7,43.3,3458
107.10.30,LG5,芹菜-芹菜管,104,台北二,32,32,32,32,21
107.10.30,LG9,芹菜-進口,104,台北二,34.2,23,11.3,22.9,1239
107.10.30,LH1,菠菜-圓葉,104,台北二,63.6,49.8,36,49.8,4160
107.10.30,LH2,菠菜-角葉,104,台北二,46.2,37,24.8,36.4,2203
107.10.30,LI0,萵苣菜-其他,104,台北二,100,92,37.5,82.7,157
107.10.30,LI1,萵苣菜-廣東萵,104,台北二,24.6,8.7,2.2,10.6,634
107.10.30,LI3,萵苣菜-本島圓葉,104,台北二,27.7,23,15.7,22.5,3280
107.10.30,LI4,萵苣菜-本島尖葉,104,台北二,35.3,19.3,15.1,21.6,1673
107.10.30,LI5,萵苣菜-油麥菜,104,台北二,15,11.2,7.3,11.2,12650
107.10.30,LI6,萵苣菜-蘿美,104,台北二,90,90,72.3,86.5,204
107.10.30,LI7,萵苣菜-紅捲綠捲,104,台北二,18.7,12,10,13,81
107.10.30,LI8,萵苣菜-水耕,104,台北二,41.7,36,31.2,36.2,2175
107.10.30,LI9,萵苣菜-進口,104,台北二,67.7,55,44.2,55.4,2635
107.10.30,LJ1,芥菜-芥菜仁,104,台北二,24.3,21.1,20,21.5,520
107.10.30,LJ3,芥菜-大芥菜,104,台北二,21.3,11.6,6.9,12.6,7980
107.10.30,LJ4,芥菜-小芥菜,104,台北二,28.2,18.1,13.8,19.3,1380
107.10.30,LK2,芥藍菜,104,台北二,25.2,17.3,10.4,17.5,2802
107.10.30,LK3,芥藍菜-芥藍芽,104,台北二,98.5,64.2,39.7,66.2,1672
107.10.30,LL1,茼蒿,104,台北二,74.2,44.9,27.3,47.3,1210
107.10.30,LL2,茼蒿-山茼蒿,104,台北二,51.2,42.1,24.8,40.5,265
107.10.30,LM1,莧菜-紅莧菜,104,台北二,22,20.3,14.5,19.5,518
107.10.30,LM2,莧菜-白莧菜,104,台北二,25,18.6,11.1,18.4,1690
107.10.30,LN1,油菜,104,台北二,19.1,13.1,9.2,13.5,6140
107.10.30,LN2,油菜-小松菜,104,台北二,15,15,14.1,14.8,165
107.10.30,LO1,甘藷葉,104,台北二,49.7,31.9,16.3,32.3,7907
107.10.30,LP1,芫荽,104,台北二,59.7,31.1,19,34.4,1594
107.10.30,LP2,九層塔,104,台北二,56.5,29.8,14,32,1484
107.10.30,LP3,羅勒,104,台北二,25,25,25,25,9
107.10.30,LQ1,紅鳳菜-紅鳳菜,104,台北二,58.8,36.9,26.4,39.2,557
107.10.30,LS1,茴香,104,台北二,55,35.1,20,36.1,93
107.10.30,LT2,海菜-海帶,104,台北二,45,45,41.2,44.2,118
107.10.30,LT3,海菜-水蓮,104,台北二,98.8,86.3,75.8,86.7,382
107.10.30,LX1,蕨菜-過貓,104,台北二,60,53.4,50,54.1,75
107.10.30,LX2,蕨菜-山蘇,104,台北二,110,95.8,68,93.1,112
107.10.30,LZ2,藤川七-川七葉,104,台北二,45,42.8,35,41.7,54
107.10.30,M3,楊桃-馬來亞種,104,台北二,38,29.7,25.6,30.5,801
107.10.30,MA1,洋菇,104,台北二,144.8,106.1,100,112.6,207
107.10.30,MA2,洋菇(盒)-盒裝,104,台北二,106.6,39.2,23.6,49.6,1151
107.10.30,MB1,草菇,104,台北二,110,101.9,97.4,102.6,76
107.10.30,MC0,濕木耳-其他,104,台北二,27.7,27,27,27.1,314
107.10.30,MC1,濕木耳,104,台北二,112.1,81.7,60.6,83.6,965
107.10.30,MD1,溼香菇,104,台北二,116.5,105.1,26.5,91.7,1096
107.10.30,ME1,金絲菇,104,台北二,49.1,44.3,34.7,43.3,1309
107.10.30,ME2,金絲菇(盒)-盒裝,104,台北二,40,12.4,8,17,1797
107.10.30,MF1,蠔菇-鮑魚菇,104,台北二,59,48.4,35,47.9,100
107.10.30,MI1,秀珍菇,104,台北二,94,83.7,37.9,76.6,379
107.10.30,MJ1,杏鮑菇,104,台北二,110.7,76.8,39.7,76.1,2605
107.10.30,MJ2,杏鮑菇-盒裝,104,台北二,130,23.7,9,42,55
107.10.30,MK1,鴻禧菇,104,台北二,240.6,54.9,21,85.2,244
107.10.30,MK2,鴻禧菇-盒裝,104,台北二,25,24.2,23.3,24.2,810
107.10.30,ML1,珊瑚菇,104,台北二,45,45,45,45,3
107.10.30,ML2,珊瑚菇-盒裝,104,台北二,12,12,11.7,11.9,102
107.10.30,MN1,柳松菇,104,台北二,175.4,106.7,100,119.1,70
107.10.30,MN2,柳松菇-盒裝,104,台北二,28,28,28,28,28
107.10.30,MX1,其他菇類-其他菇類,104,台北二,105.9,20.8,20,37.6,937
107.10.30,O4,梨-新興梨,104,台北二,77.1,35.5,14.5,39.6,4650
107.10.30,O9,梨-進口,104,台北二,66.7,66.2,57.8,64.6,390
107.10.30,OA2,鹹菜-帶葉,104,台北二,25,25,25,25,695
107.10.30,OB1,雪裡紅,104,台北二,30,30,30,30,180
107.10.30,OD1,蘿蔔乾,104,台北二,30,30,30,30,40
107.10.30,OE2,醃瓜-漬,104,台北二,22.8,22,22,22.2,72
107.10.30,OG2,熟筍-箭竹筍,104,台北二,80,80,80,80,100
107.10.30,OW,梨-雪梨,104,台北二,75,69.1,60,68.4,61
107.10.30,OX1,其他蔬菜,104,台北二,96.1,30,16.3,40.5,3168
107.10.30,P1,番石榴-珍珠芭,104,台北二,78.4,49.2,29.6,51.1,13453
107.10.30,P2,番石榴-紅心,104,台北二,34.7,27.9,19,27.5,713
107.10.30,P3,番石榴-帝王芭,104,台北二,114,61,38.7,67.2,702
107.10.30,Q1,蓮霧-紅蓮霧,104,台北二,328,245.4,126.6,238.2,536
107.10.30,Q2,蓮霧-子彈型,104,台北二,108.3,93.9,60.6,90.1,355
107.10.30,R0,芒果-其他,104,台北二,100,100,100,100,11
107.10.30,R8,芒果-芒果青,104,台北二,51,43.3,35,43.2,53
107.10.30,S1,葡萄-巨峰,104,台北二,88.7,54.7,37.9,58.2,1877
107.10.30,S49,葡萄-進口無子,104,台北二,116.7,88.9,83.3,93.3,3200
107.10.30,S9,葡萄-進口,104,台北二,589.2,162.3,66.7,228.5,1580
107.10.30,SA32,蘿蔔-矸仔,104,台北二,9.2,6.2,3.5,6.3,27840
107.10.30,SA6,蘿蔔-白玉蘿蔔,104,台北二,18.8,13.6,12,14.3,668
107.10.30,SA7,蘿蔔-甜菜根,104,台北二,25,20.5,10,19.3,190
107.10.30,SA9,蘿蔔-進口,104,台北二,5.7,2.1,1.2,2.7,5730
107.10.30,SB1,胡蘿蔔-未洗,104,台北二,25,23.7,17,22.6,300
107.10.30,SB2,胡蘿蔔-清洗,104,台北二,28.6,22.1,12.3,21.4,10370
107.10.30,SB9,胡蘿蔔-進口,104,台北二,28,24,20,24,1040
107.10.30,SC1,馬鈴薯-本產,104,台北二,30,24.1,11.6,22.8,2472
107.10.30,SC9,馬鈴薯-進口,104,台北二,26.5,23,20.8,23.3,1634
107.10.30,SD1,洋蔥-本產,104,台北二,21,18.4,16,18.5,949
107.10.30,SD9,洋蔥-進口,104,台北二,25.7,21.5,16.2,21.2,9579
107.10.30,SE1,青蔥-日蔥,104,台北二,112.4,73.3,52.4,77,2235
107.10.30,SE2,青蔥-北蔥,104,台北二,33,26.4,19.1,26.3,2940
107.10.30,SE5,青蔥-紅蔥頭,104,台北二,50,50,50,50,144
107.10.30,SE6,青蔥-粉蔥,104,台北二,59.5,38.3,23.8,39.6,7003
107.10.30,SF1,韭菜-白頭,104,台北二,53.2,37.9,19.2,37.2,1620
107.10.30,SF2,韭菜-韭菜黃,104,台北二,129.4,115.6,80.3,111.3,338
107.10.30,SF3,韭菜-韭菜花,104,台北二,84.8,63.6,50,65.1,183
107.10.30,SF4,韭菜-青頭,104,台北二,51.2,38,27.4,38.5,601
107.10.30,SG2,大蒜-軟梗,104,台北二,90,71.7,48.3,70.7,1362
107.10.30,SG4,大蒜-蔥蒜,104,台北二,48.9,45,45,45.8,260
107.10.30,SG5,大蒜-蒜頭,104,台北二,68.3,50.6,33,50.6,158
107.10.30,SG6,大蒜-蒜仁,104,台北二,70,70,70,70,1061
107.10.30,SG7,大蒜-蒜瓣,104,台北二,141.2,89.4,37.8,89.4,195
107.10.30,SH1,竹筍-麻竹筍,104,台北二,38,26.3,14.3,26.3,530
107.10.30,SH5,竹筍-烏殼綠,104,台北二,48.4,23.3,14.5,26.6,1640
107.10.30,SH7,竹筍-去殼,104,台北二,30,17.5,15,19.5,200
107.10.30,SI1,萵苣莖,104,台北二,35,33.3,30,33,100
107.10.30,SJ1,芋-麵芋,104,台北二,6,6,6,6,30
107.10.30,SJ2,芋-檳榔心芋,104,台北二,53.1,39.1,28.6,39.8,3279
107.10.30,SJ3,芋-里芋,104,台北二,60,53.8,35,51.3,120
107.10.30,SJ4,芋-芋莖,104,台北二,25,23,20,22.8,96
107.10.30,SK2,荸薺-加工,104,台北二,70,70,70,70,184
107.10.30,SL1,豆薯,104,台北二,15,8,6,9,720
107.10.30,SM1,牛蒡,104,台北二,37,36.6,35,36.3,210
107.10.30,SM9,牛蒡-進口,104,台北二,30,30,30,30,190
107.10.30,SN1,蓮藕,104,台北二,53.9,20.1,3.7,23.6,1090
107.10.30,SN2,蓮藕-蓮子,104,台北二,300,300,300,300,12
107.10.30,SO0,甘薯-其他,104,台北二,20,20,20,20,125
107.10.30,SO1,甘薯-改良種,104,台北二,36.5,25.8,14,25.6,1755
107.10.30,SO2,甘薯-芋仔甘藷,104,台北二,17.5,15.6,8.7,14.6,180
107.10.30,SO3,甘藷-臺農66號,104,台北二,25.6,14.7,6.6,15.2,5198
107.10.30,SP0,薑-其他,104,台北二,67,67,67,67,72
107.10.30,SP1,薑-老薑,104,台北二,88.8,76.4,53.8,74.4,2576
107.10.30,SP2,薑-嫩薑,104,台北二,71.3,62.3,32.4,58.2,1068
107.10.30,SP3,薑-粉薑,104,台北二,46,38.3,31.1,38.4,1137
107.10.30,SQ1,茭白筍-帶殼,104,台北二,62.3,48.1,26.1,46.6,3220
107.10.30,SQ3,茭白筍-去殼,104,台北二,150.6,102.9,61.4,104.2,1320
107.10.30,SR1,菱角-生菱角,104,台北二,67.8,59.2,47.5,58.6,1774
107.10.30,SS1,大心菜-帶葉,104,台北二,51.7,42,25.1,40.5,731
107.10.30,SU2,薯蕷-白薯蕷,104,台北二,40.7,30.2,23.6,31,1267
107.10.30,SU3,薯蕷-樹薯,104,台北二,30,30,30,30,19
