交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
107.10.03,11,椰子,104,台北二,30.2,26.5,16.6,25.3,917
107.10.03,129,椰子-進口剝殼,104,台北二,25,25,25,25,320
107.10.03,31,釋迦,104,台北二,140.1,119.5,78.8,115.5,664
107.10.03,459,草莓-進口,104,台北二,266.7,266.7,266.7,266.7,60
107.10.03,50,百香果-其他,104,台北二,63,51.6,27.6,49.1,1217
107.10.03,51,百香果-改良種,104,台北二,72.5,41.4,26.7,44.6,6925
107.10.03,72,小番茄-聖女,104,台北二,112.9,98.1,53.1,92.1,628
107.10.03,74,小番茄-玉女,104,台北二,298.9,197,84.2,194.8,312
107.10.03,811,火龍果-白肉,104,台北二,43.8,21.7,9.6,23.7,9673
107.10.03,812,火龍果-紅肉,104,台北二,46.4,27.5,12.8,28.4,21120
107.10.03,91,其他,104,台北二,49.2,40.5,20,38.2,94
107.10.03,919,其他-進口,104,台北二,100,92.6,66.7,88.9,30
107.10.03,A0,香蕉-其他,104,台北二,27.6,14.3,4,14.9,439
107.10.03,A1,香蕉,104,台北二,25.2,23.1,16.2,22.2,17778
107.10.03,A2,香蕉-芭蕉,104,台北二,40.8,18.3,7.6,20.7,3093
107.10.03,A3,香蕉-旦蕉,104,台北二,55,40.8,26.8,40.8,185
107.10.03,B0,鳳梨-其他,104,台北二,12.9,11,8.5,10.9,5304
107.10.03,B2,鳳梨-金鑽鳳梨,104,台北二,29.7,21.7,13.1,21.6,3564
107.10.03,B6,鳳梨-甜蜜蜜,104,台北二,12,12,10.5,11.7,498
107.10.03,B7,鳳梨-牛奶鳳梨,104,台北二,12,10.8,9,10.7,555
107.10.03,B9,鳳梨-進口,104,台北二,33.3,33.3,33.3,33.3,400
107.10.03,C1,椪柑,104,台北二,60.7,39.5,19.8,39.8,3465
107.10.03,C6,佛利檬-佛利檬,104,台北二,40,37.5,35,37.5,24
107.10.03,C9,椪柑-進口,104,台北二,187.6,44.4,44.4,73.1,571
107.10.03,E0,甜橙-其他,104,台北二,40,40,40,40,60
107.10.03,E1,甜橙-柳橙,104,台北二,31.1,21.3,17.6,22.5,776
107.10.03,E9,甜橙-進口,104,台北二,70,70,70,70,10
107.10.03,F0,雜柑-其他,104,台北二,16,14.3,5,12.8,940
107.10.03,F1,雜柑-檸檬,104,台北二,27.7,13.2,8.1,15.1,2067
107.10.03,F4,雜柑-桔子,104,台北二,63.5,36,34.1,41.1,202
107.10.03,F5,雜柑-無子檸檬,104,台北二,50.9,21.6,7.9,24.8,1208
107.10.03,FA1,黃秋葵,104,台北二,98.4,72.6,28.7,69,509
107.10.03,FB11,花椰菜-青梗,104,台北二,70.8,44.5,24.3,45.7,4855
107.10.03,FB9,花椰菜-進口,104,台北二,22,22,22,22,65
107.10.03,FC1,胡瓜-黑刺,104,台北二,35.9,25.2,12,24.7,6726
107.10.03,FD0,花胡瓜-其他,104,台北二,40,29.3,25,30.6,145
107.10.03,FD1,花胡瓜,104,台北二,41,29.8,18.2,29.7,10837
107.10.03,FE1,冬瓜-白皮,104,台北二,22.8,15.8,7.6,15.6,2731
107.10.03,FE2,冬瓜-青皮,104,台北二,13,13,13,13,20
107.10.03,FF0,絲瓜-其他,104,台北二,30.3,22.9,18.7,23.5,611
107.10.03,FF1,絲瓜-絲瓜,104,台北二,27.3,20.9,14,20.8,15303
107.10.03,FF2,絲瓜-角瓜,104,台北二,42,34.2,28,34.5,133
107.10.03,FF4,絲瓜-長絲瓜,104,台北二,20,20,20,20,22
107.10.03,FG0,苦瓜-其他,104,台北二,60.9,47.6,36,47.9,1151
107.10.03,FG1,苦瓜-白大米,104,台北二,84.1,64.5,45.9,64.7,1876
107.10.03,FG2,苦瓜-青大米,104,台北二,52.2,45.9,44.4,46.8,484
107.10.03,FG3,苦瓜-山苦瓜,104,台北二,72,72,72,72,13
107.10.03,FG4,苦瓜-翠綠,104,台北二,53.5,27.8,20,31.4,659
107.10.03,FH3,扁蒲-花蒲,104,台北二,20.1,16.4,13.1,16.5,1177
