交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
107.10.29,rest,休市,104,台北二,0,0,0,0,0
107.10.29,FA800,康乃馨-多朵(混色),105,台北市場,45,40,26,38,140
107.10.29,FA810,康乃馨-多朵紅,105,台北市場,37,37,37,37,30
107.10.29,FA811,康乃馨-多朵櫻紅,105,台北市場,42,42,42,42,32
107.10.29,FA900,小可愛-(混色),105,台北市場,45,45,45,45,34
107.10.29,FA910,小可愛-紅,105,台北市場,61,61,61,61,40
107.10.29,FA985,美女撫子-綠石竹,105,台北市場,196,139,71,136.9,163
107.10.29,FB000,火鶴花-火鶴花,105,台北市場,17,15,13,15,770
107.10.29,FB001,火鶴花-混色,105,台北市場,8,8,8,8,73
107.10.29,FB100,火鶴花-紅色,105,台北市場,15,15,15,15,40
107.10.29,FB103,火鶴花-紅青心,105,台北市場,14,12,11,12.5,62
107.10.29,FB105,火鶴花-紅綠邊,105,台北市場,17,17,17,17,45
107.10.29,FB106,火鶴花-丘比特,105,台北市場,21,12,6,12.9,3092
107.10.29,FB108,火鶴花-千里達,105,台北市場,15,9,6,9.5,1530
107.10.29,FB111,火鶴花-月光,105,台北市場,18,14,12,14.4,470
107.10.29,FB302,火鶴花-黃瑪莉,105,台北市場,20,15,9,14.5,266
107.10.29,FB407,火鶴花-夢幻,105,台北市場,17,10,6,10.3,1897
107.10.29,FB408,火鶴花-粉佳人,105,台北市場,11,10,10,10.4,90
107.10.29,FB411,火鶴花-王妃,105,台北市場,22,17,15,17.8,112
107.10.29,FB412,火鶴花-總統,105,台北市場,17,17,16,16.8,105
107.10.29,FB415,火鶴花-羅莎,105,台北市場,20,14,7,14,1283
107.10.29,FB416,火鶴花-花仙子,105,台北市場,20,12,5,12.3,204
107.10.29,FB419,火鶴花-太極,105,台北市場,17,10,7,11,2139
107.10.29,FB420,火鶴花-小紅莓,105,台北市場,15,13,6,12.5,401
107.10.29,FB425,火鶴花-吉祥,105,台北市場,8,8,8,8,50
107.10.29,FB500,火鶴花-翠綠,105,台北市場,21,13,5,12.9,1192
107.10.29,FB509,火鶴花-森林,105,台北市場,11,11,11,11,40
107.10.29,FB601,火鶴花-白青心,105,台北市場,13,13,13,13,40
107.10.29,FB605,火鶴花-嘉年華,105,台北市場,14,11,9,11.1,82
107.10.29,FB700,火鶴花-花紫,105,台北市場,15,14,12,13.6,170
107.10.29,FB801,火鶴花-咖啡條紋,105,台北市場,16,10,5,10.3,103
107.10.29,FC000,大菊-大菊,105,台北市場,0,0,0,0,0
107.10.29,FC316,大菊-黃精競,105,台北市場,83,55,29,55.5,642
107.10.29,FC613,大菊-白天星,105,台北市場,141,122,81,117.6,1553
107.10.29,FC800,大菊-  染色大菊,105,台北市場,86,86,86,86,40
107.10.29,FD001,小菊-混合色,105,台北市場,50,50,50,50,26
107.10.29,FD100,小菊-紅,105,台北市場,48,48,32,44.7,215
107.10.29,FD113,小菊-日本小紅,105,台北市場,110,101,75,97.3,225
107.10.29,FD131,小菊-小紅娘,105,台北市場,54,38,32,40,332
107.10.29,FD138,小菊-卡洛琳,105,台北市場,86,44,34,50.3,198
107.10.29,FD200,小菊-金,105,台北市場,69,50,33,50.7,353
107.10.29,FD300,小菊-黃,105,台北市場,51,33,16,33,649
107.10.29,FD308,小菊-黃丁字菊,105,台北市場,56,33,17,34.3,219
107.10.29,FD309,小菊-日本黃,105,台北市場,51,45,42,45.6,340
107.10.29,FD400,小菊-粉,105,台北市場,59,48,37,47.9,675
107.10.29,FD401,小菊-秋陽,105,台北市場,67,67,67,67,75
107.10.29,FD422,小菊-吉祥小粉,105,台北市場,62,42,31,43.9,271
107.10.29,FD423,小菊-粉日記,105,台北市場,62,50,30,48.5,239
107.10.29,FD433,小菊-芬蘭小粉,105,台北市場,55,55,55,55,30
107.10.29,FD600,小菊-白,105,台北市場,90,79,36,72.8,88
107.10.29,FD632,小菊-珍珠白,105,台北市場,71,70,70,70.4,135
107.10.29,FD635,小菊-林克小白,105,台北市場,147,125,111,126.8,1025
107.10.29,FD645,小菊-白斯不列,105,台北市場,71,34,25,39.9,364
107.10.29,FE000,非洲菊-非洲菊,105,台北市場,87,84,81,84,40
107.10.29,FE001,非洲菊-混合色,105,台北市場,72,66,60,66,1295
107.10.29,FE100,非洲菊-紅,105,台北市場,114,110,106,110,60
107.10.29,FE201,非洲菊-太陽神,105,台北市場,60,60,60,60,20
107.10.29,FE202,非洲菊-沙丘,105,台北市場,71,70,68,69.6,85
107.10.29,FE400,非洲菊-粉,105,台北市場,91,91,91,91,25
107.10.29,FE401,非洲菊-伊斯瑪拉,105,台北市場,95,76,59,76.3,310
107.10.29,FE409,非洲菊-粉紅魅力,105,台北市場,82,67,59,68.2,728
107.10.29,FE415,非洲菊-粉美麗,105,台北市場,99,99,99,99,25
107.10.29,FE600,非洲菊-白,105,台北市場,84,84,84,84,30
107.10.29,FE601,非洲菊-白雪,105,台北市場,85,85,84,84.7,60
107.10.29,FE700,非洲菊-紫,105,台北市場,70,70,70,70,18
107.10.29,FE900,非洲菊-迷你混色,105,台北市場,81,64,50,64.6,169
107.10.29,FG113,劍蘭-新種紅,105,台北市場,140,137,122,134.5,52
107.10.29,FG406,劍蘭-青殼粉,105,台北市場,130,128,114,125.2,87
107.10.29,FG600,劍蘭-白,105,台北市場,0,0,0,0,0
107.10.29,FH000,其它花卉-其它花卉,105,台北市場,32,21,19,22.9,131
107.10.29,FH004,八卦草(黃河)-八卦草(黃河),105,台北市場,67,56,40,54.8,85
107.10.29,FH006,黃梔花-黃梔花,105,台北市場,40,23,14,24.7,1716
107.10.29,FH101,天堂鳥-天堂鳥,105,台北市場,118,101,92,102.7,91
107.10.29,FH111,小天堂鳥-紅,105,台北市場,46,46,46,46,28
107.10.29,FH112,小天堂鳥-桔帶紅,105,台北市場,59,53,41,52,74
107.10.29,FH114,小天堂鳥-粉紅,105,台北市場,60,59,59,59.5,52
107.10.29,FH123,黃金鳥-黃金鳥,105,台北市場,70,50,42,52.6,88
107.10.29,FH129,錦鳳垂蕉-錦鳳垂蕉,105,台北市場,0,0,0,0,0
107.10.29,FH131,鶴焦-鶴焦,105,台北市場,34,33,24,31.5,121
107.10.29,FH132,小鶴蕉-小鶴蕉,105,台北市場,112,90,27,81.2,62
107.10.29,FH133,鶴蕉紅美人-鶴蕉紅美人,105,台北市場,26,25,19,24.1,135
107.10.29,FH137,觀音蓮-觀音蓮,105,台北市場,31,31,31,31,100
107.10.29,FH156,野薑花-白,105,台北市場,52,35,25,36.7,359
107.10.29,FH158,紅薑花-紅,105,台北市場,155,119,63,114.6,211
107.10.29,FH185,嘉蘭<火焰百合>-嘉蘭<火焰百合>,105,台北市場,71,56,30,54,231
107.10.29,FH231,夜來香-單瓣,105,台北市場,130,129,121,127.3,61
107.10.29,FH232,夜來香-重瓣,105,台北市場,117,71,50,75.8,190
107.10.29,FH240,麥桿菊-麥桿菊,105,台北市場,127,124,122,124.3,44
107.10.29,FH245,初雪草-初雪草,105,台北市場,202,200,193,199,60
107.10.29,FH251,秀線-秀線,105,台北市場,125,100,80,100.9,145
107.10.29,FH270,千日紅-千日紅,105,台北市場,58,49,29,46.5,255
107.10.29,FH293,向日葵-單瓣,105,台北市場,133,94,61,94.9,471
107.10.29,FH330,雞冠花-雞冠花,105,台北市場,127,120,117,120.5,72
107.10.29,FH331,雞冠花-清紅,105,台北市場,91,72,46,70.9,564
107.10.29,FH333,雞冠花-黃,105,台北市場,71,71,71,71,48
107.10.29,FH334,雞冠花-綠,105,台北市場,0,0,0,0,0
107.10.29,FH337,雞冠花-紫紅,105,台北市場,72,72,72,72,16
107.10.29,FH339,雞冠花-粉,105,台北市場,118,105,57,98.1,100
107.10.29,FH358,珊瑚鳳梨-珊瑚鳳梨,105,台北市場,28,27,25,26.7,270
107.10.29,FH360,金魚草-混色,105,台北市場,75,75,75,75,21
107.10.29,FH364,金魚草-粉色,105,台北市場,65,65,61,64.2,142
107.10.29,FH366,金魚草-白色,105,台北市場,70,59,43,58.2,326
107.10.29,FH381,麒麟草-麒麟草,105,台北市場,57,49,37,48.1,1089
107.10.29,FH464,繡球花-粉,105,台北市場,117,114,110,113.5,30
107.10.29,FH467,繡球花-藍,105,台北市場,100,100,100,100,30
107.10.29,FH468,繡球花-水藍,105,台北市場,60,50,26,47,215
107.10.29,FH630,海芋-混色,105,台北市場,133,103,54,99.4,185
107.10.29,FH631,海芋-紅,105,台北市場,132,111,74,107.6,92
107.10.29,FH633,海芋-黃,105,台北市場,69,54,28,52.1,445
107.10.29,FH634,海芋-粉,105,台北市場,117,94,72,94.1,80
107.10.29,FH640,睡蓮-睡蓮,105,台北市場,60,60,60,60,36
107.10.29,FH661,伯利恆之星-伯利恆之星,105,台北市場,147,140,114,136.1,235
107.10.29,FH670,茉莉花-茉莉花,105,台北市場,12,12,10,11.3,1680
107.10.29,FH710,深山櫻-深山櫻,105,台北市場,112,94,88,96.2,99
107.10.29,FK412,葵百合-阿卡波克紅雙朵,105,台北市場,181,181,181,181,17
107.10.29,FK413,葵百合-阿卡波克紅三朵,105,台北市場,235,224,217,225,36
107.10.29,FK419,葵百合-阿卡波克紅多朵,105,台北市場,288,288,288,288,13
107.10.29,FL139,LA百合-黃多朵,105,台北市場,212,212,212,212,75
107.10.29,FO000,蘭花-蘭花,105,台北市場,303,94,43,125,202
107.10.29,FO005,腎藥蘭-淺紅色,105,台北市場,200,200,200,200,6
107.10.29,FO006,腎藥蘭-腎藥蘭,105,台北市場,246,178,128,181.4,249
107.10.29,FO007,千代蘭-千代蘭,105,台北市場,162,130,86,127.5,508
107.10.29,FO008,嘉德麗蘭-嘉德麗蘭,105,台北市場,7,7,7,7,120
107.10.29,FO009,萬代蘭-萬代蘭,105,台北市場,222,178,147,180.5,193
107.10.29,FO011,拖鞋蘭-拖鞋蘭,105,台北市場,63,21,21,29.4,75
107.10.29,FO014,樹蘭-樹蘭,105,台北市場,20,20,19,19.5,60
107.10.29,FO020,萬代蘭-巨輪混,105,台北市場,23,18,15,18.7,58
107.10.29,FO021,萬代蘭-巨輪紅,105,台北市場,38,35,32,35.1,63
107.10.29,FO022,萬代蘭-巨輪橙,105,台北市場,47,44,41,44,36
107.10.29,FO023,萬代蘭-巨輪黃,105,台北市場,21,15,10,14.9,52
107.10.29,FO024,萬代蘭-巨輪粉,105,台北市場,59,36,22,38.1,569
107.10.29,FO025,萬代蘭-巨輪綠,105,台北市場,46,41,38,41.1,47
107.10.29,FO027,萬代蘭-巨輪紫,105,台北市場,61,38,21,39.2,766
107.10.29,FO029,萬代蘭-巨輪棕,105,台北市場,43,43,43,43,26
107.10.29,FO213,虎頭蘭-大輪黃,105,台北市場,68,60,50,59.3,45
107.10.29,FO215,虎頭蘭-大輪綠,105,台北市場,95,88,56,82.7,115
107.10.29,FO223,虎頭蘭-中輪黃,105,台北市場,56,50,45,50,55
107.10.29,FO225,虎頭蘭-中輪綠,105,台北市場,90,79,55,76.5,224
107.10.29,FO331,大文心蘭-大文心蘭,105,台北市場,77,76,61,73.1,53
107.10.29,FO335,檸檬綠文心蘭-檸檬綠文心蘭,105,台北市場,121,67,52,74.8,1930
107.10.29,FO361,文心蘭-白雪,105,台北市場,200,125,50,125,16
107.10.29,FO534,石斛蘭-綠寶石黃,105,台北市場,138,90,76,97.4,43
107.10.29,FO610,蝴蝶蘭-紅色,105,台北市場,80,72,70,73.3,36
107.10.29,FO640,蝴蝶蘭-粉色,105,台北市場,92,92,92,92,12
107.10.29,FO663,蝴蝶蘭-白黃心,105,台北市場,113,93,87,96,498
107.10.29,FR000,玫瑰-玫瑰,105,台北市場,211,164,113,163,116
107.10.29,FR100,玫瑰-紅,105,台北市場,162,128,83,122.5,12
107.10.29,FR111,玫瑰-新櫻紅,105,台北市場,182,126,69,126.1,128
107.10.29,FR112,玫瑰-紅衣武士,105,台北市場,146,105,68,105.1,67
107.10.29,FR117,玫瑰-萬年紅,105,台北市場,186,86,48,98.5,1120
107.10.29,FR120,玫瑰-埔里之星,105,台北市場,338,187,101,198.6,112
107.10.29,FR122,玫瑰-卡門,105,台北市場,218,156,111,159.1,132
107.10.29,FR204,玫瑰-新橙色,105,台北市場,246,182,115,181,70
107.10.29,FR400,玫瑰-粉,105,台北市場,238,177,125,178.9,40
107.10.29,FR408,玫瑰-黛安娜粉,105,台北市場,183,135,83,134.3,195
107.10.29,FR411,玫瑰-桃紅,105,台北市場,168,147,107,143.1,70
107.10.29,FR417,玫瑰-甜心,105,台北市場,203,143,99,145.3,67
107.10.29,FR434,玫瑰-卡蜜拉,105,台北市場,231,135,92,145.7,195
107.10.29,FR436,玫瑰-翡翠粉,105,台北市場,270,143,82,156,713
