交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
107.10.31,11,椰子,104,台北二,17.4,14.1,10.1,13.9,882
107.10.31,31,釋迦,104,台北二,149.1,80.7,42.6,86.8,511
107.10.31,459,草莓-進口,104,台北二,266.7,266.7,266.7,266.7,60
107.10.31,469,藍莓-進口藍莓,104,台北二,333.4,292.3,167.3,275.5,130
107.10.31,50,百香果-其他,104,台北二,92.2,59.3,28.6,59.8,278
107.10.31,51,百香果-改良種,104,台北二,80.6,47,29.4,50.2,3274
107.10.31,72,小番茄-聖女,104,台北二,110.5,77.5,53.4,79.3,1533
107.10.31,74,小番茄-玉女,104,台北二,256.3,191,113.6,188.6,606
107.10.31,811,火龍果-白肉,104,台北二,95.6,81.4,39.4,75.9,815
107.10.31,812,火龍果-紅肉,104,台北二,91.7,63.1,38,63.8,6248
107.10.31,91,其他,104,台北二,152.4,50,31,66.7,166
107.10.31,919,其他-進口,104,台北二,240,219.2,213.3,222.2,15
107.10.31,A0,香蕉-其他,104,台北二,37,24.6,9,24,133
107.10.31,A1,香蕉,104,台北二,43.7,37.2,21.5,35.4,13755
107.10.31,A2,香蕉-芭蕉,104,台北二,45.3,21.8,11.1,24.4,2774
107.10.31,A3,香蕉-旦蕉,104,台北二,84,64.6,33.3,62.2,148
107.10.31,B0,鳳梨-其他,104,台北二,13,13,13,13,336
107.10.31,B2,鳳梨-金鑽鳳梨,104,台北二,45,34.2,20.6,33.7,1556
107.10.31,B9,鳳梨-進口,104,台北二,33.3,33.3,33.3,33.3,340
107.10.31,C1,椪柑,104,台北二,40.2,26.5,14.8,26.9,27626
107.10.31,C9,椪柑-進口,104,台北二,533.4,355.6,306.7,381.3,50
107.10.31,E0,甜橙-其他,104,台北二,45,45,45,45,36
107.10.31,E1,甜橙-柳橙,104,台北二,27.7,18.7,10.9,18.9,10110
107.10.31,E3,甜橙-紅肉柳橙,104,台北二,22,22,22,22,120
107.10.31,E9,甜橙-進口,104,台北二,35,25.3,22.2,26.6,1938
107.10.31,F0,雜柑-其他,104,台北二,21.6,20,13.6,19.1,122
107.10.31,F1,雜柑-檸檬,104,台北二,34.9,13.5,5.6,16.2,1296
107.10.31,F4,雜柑-桔子,104,台北二,69.8,38.2,16.3,40.2,203
107.10.31,F5,雜柑-無子檸檬,104,台北二,61.6,26.8,12.3,30.8,1374
107.10.31,FA1,黃秋葵,104,台北二,87.2,41.3,10,44.2,508
