交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
107.10.07,11,椰子,104,台北二,30.3,25.5,21.8,25.7,965
107.10.07,31,釋迦,104,台北二,158.7,122.7,75,120.3,673
107.10.07,50,百香果-其他,104,台北二,81.4,69.3,35,64.9,1537
107.10.07,51,百香果-改良種,104,台北二,86.5,48.8,26.3,51.9,5286
107.10.07,72,小番茄-聖女,104,台北二,135.8,117.8,77.2,113.3,515
107.10.07,74,小番茄-玉女,104,台北二,296.7,146.7,70.6,161.5,288
107.10.07,811,火龍果-白肉,104,台北二,39,19.3,8.7,21.1,14466
107.10.07,812,火龍果-紅肉,104,台北二,53.2,30.1,14.9,31.7,19093
107.10.07,91,其他,104,台北二,113.4,60.3,21.1,63.1,158
107.10.07,919,其他-進口,104,台北二,113.4,113.3,113.3,113.3,140
107.10.07,A0,香蕉-其他,104,台北二,34.2,30.8,21.7,29.7,547
107.10.07,A1,香蕉,104,台北二,32.8,27.1,24.7,27.8,13127
107.10.07,A2,香蕉-芭蕉,104,台北二,59.2,28,12.4,31.1,1906
107.10.07,A3,香蕉-旦蕉,104,台北二,50,47.3,29,44.2,176
107.10.07,B0,鳳梨-其他,104,台北二,12.1,11.7,9.8,11.4,2197
107.10.07,B2,鳳梨-金鑽鳳梨,104,台北二,39.3,21.3,11.9,23,5186
107.10.07,B6,鳳梨-甜蜜蜜,104,台北二,20,15.1,11.3,15.3,633
107.10.07,C1,椪柑,104,台北二,61.5,41.4,22.6,41.7,9683
107.10.07,C6,佛利檬-佛利檬,104,台北二,44.6,39.3,38,40.1,372
107.10.07,C9,椪柑-進口,104,台北二,620.8,600,600,604.2,32
107.10.07,E0,甜橙-其他,104,台北二,55,43.6,15.8,40.3,381
107.10.07,E1,甜橙-柳橙,104,台北二,41.2,18.9,12.4,22.1,4331
107.10.07,E9,甜橙-進口,104,台北二,40.5,20.4,18.5,24,3430
107.10.07,F0,雜柑-其他,104,台北二,15.4,10.5,5.8,10.5,1075
107.10.07,F1,雜柑-檸檬,104,台北二,36.8,18.9,8.5,20.4,924
107.10.07,F4,雜柑-桔子,104,台北二,38,35.2,28.5,34.4,135
107.10.07,F5,雜柑-無子檸檬,104,台北二,31.4,15.6,4.8,16.6,1595
107.10.07,FA1,黃秋葵,104,台北二,125.5,83.2,12.6,77.5,669
107.10.07,FB11,花椰菜-青梗,104,台北二,78.6,60.7,35.7,59.3,5231
