交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
107.10.19,11,椰子,104,台北二,19.8,15.3,12.8,15.7,629
107.10.19,31,釋迦,104,台北二,151.9,96,52.8,98.6,1106
107.10.19,32,釋迦-鳳梨釋迦,104,台北二,60,60,60,60,25
107.10.19,50,百香果-其他,104,台北二,75,64.9,40.2,62,542
107.10.19,51,百香果-改良種,104,台北二,68.1,37.7,23.8,41,6855
107.10.19,72,小番茄-聖女,104,台北二,178.6,127.5,76.7,127.6,335
107.10.19,74,小番茄-玉女,104,台北二,316.8,241.8,189.6,246.3,336
107.10.19,811,火龍果-白肉,104,台北二,44.4,27.3,16.8,28.7,9026
107.10.19,812,火龍果-紅肉,104,台北二,41.7,34.3,16.5,32.2,12801
107.10.19,91,其他,104,台北二,254.9,71.7,30,100,94
107.10.19,919,其他-進口,104,台北二,240,240,240,240,5
107.10.19,A0,香蕉-其他,104,台北二,31.9,22.8,16.1,23.3,351
107.10.19,A1,香蕉,104,台北二,39.9,31.4,26.1,32,11730
107.10.19,A2,香蕉-芭蕉,104,台北二,38.7,20.2,11.1,22.1,2557
107.10.19,A3,香蕉-旦蕉,104,台北二,80,71,65.3,71.7,69
107.10.19,B0,鳳梨-其他,104,台北二,11,10.1,8,9.9,1164
107.10.19,B2,鳳梨-金鑽鳳梨,104,台北二,24.9,18.8,11.6,18.6,2800
107.10.19,B6,鳳梨-甜蜜蜜,104,台北二,13,10.5,7,10.3,341
107.10.19,C1,椪柑,104,台北二,50.9,31.7,20.5,33.3,19358
107.10.19,C9,椪柑-進口,104,台北二,633.3,633.3,633.3,633.3,15
107.10.19,E0,甜橙-其他,104,台北二,17.5,17,17,17.1,150
107.10.19,E1,甜橙-柳橙,104,台北二,31.8,23.6,13.9,23.3,7159
107.10.19,E3,甜橙-紅肉柳橙,104,台北二,12,12,12,12,16
107.10.19,E9,甜橙-進口,104,台北二,53.2,40,40,42.6,1520
107.10.19,F0,雜柑-其他,104,台北二,20,14.2,5,13.5,222
107.10.19,F1,雜柑-檸檬,104,台北二,35.5,14.3,5.8,16.9,1317
107.10.19,F4,雜柑-桔子,104,台北二,32.9,17.3,8.1,18.6,453
107.10.19,F5,雜柑-無子檸檬,104,台北二,55.7,22.5,7.8,26.2,2074
107.10.19,FA1,黃秋葵,104,台北二,88.7,49.3,11.4,49.6,790
107.10.19,FB11,花椰菜-青梗,104,台北二,74.8,65.7,37,61.8,3459
107.10.19,FB9,花椰菜-進口,104,台北二,25,25,25,25,140
107.10.19,FC1,胡瓜-黑刺,104,台北二,28.9,22,16.1,22.2,5632
107.10.19,FD0,花胡瓜-其他,104,台北二,35,35,35,35,27
107.10.19,FD1,花胡瓜,104,台北二,34.7,24.9,17,25.3,8952
107.10.19,FE1,冬瓜-白皮,104,台北二,14.6,12.6,7.9,12,3020
107.10.19,FF0,絲瓜-其他,104,台北二,18,16.1,10.3,15.3,454
107.10.19,FF1,絲瓜-絲瓜,104,台北二,24.3,18.3,10.9,18.1,10812
107.10.19,FF2,絲瓜-角瓜,104,台北二,50,24.5,12,27.1,216
107.10.19,FF4,絲瓜-長絲瓜,104,台北二,10,10,10,10,20
107.10.19,FG0,苦瓜-其他,104,台北二,37.8,27.4,20.5,28.1,1487
107.10.19,FG1,苦瓜-白大米,104,台北二,52.2,43.9,30,42.8,2638
107.10.19,FG2,苦瓜-青大米,104,台北二,28,22.8,18.9,23,276
107.10.19,FG3,苦瓜-山苦瓜,104,台北二,75,75,75,75,10
107.10.19,FG4,苦瓜-翠綠,104,台北二,38.6,25.5,16.9,26.4,421
107.10.19,FH3,扁蒲-花蒲,104,台北二,15.1,11.8,8.8,11.9,991
107.10.19,FH4,扁蒲-梨子蒲,104,台北二,19.8,14.9,10.5,15,4015
107.10.19,FI2,茄子-麻荸茄,104,台北二,56.6,32.1,21.3,34.8,5936
107.10.19,FI3,茄子-日本種,104,台北二,33.1,22.7,15,23.3,331
107.10.19,FJ1,蕃茄-黑柿,104,台北二,120,100.2,95,103.1,43
107.10.19,FJ2,蕃茄-粉柿,104,台北二,140,125,110,125,40
107.10.19,FJ3,蕃茄-牛蕃茄,104,台北二,114.2,96.6,68,94.4,5080
107.10.19,FK0,甜椒-其他,104,台北二,165,153.3,150,155,45
107.10.19,FK4,甜椒-彩色種,104,台北二,197.8,93.8,38.8,103.6,874
107.10.19,FK5,甜椒-青椒,104,台北二,54,32,21.5,34.3,3306
107.10.19,FL2,豌豆-紅花,104,台北二,170,170,134.3,162.9,140
107.10.19,FL5,豌豆-豌豆苗,104,台北二,150,150,150,150,10
107.10.19,FL6,豌豆-甜豌豆,104,台北二,200,190.3,190,192.2,205
107.10.19,FL9,豌豆-進口,104,台北二,165,165,165,165,60
107.10.19,FM1,菜豆-白色,104,台北二,15,15,15,15,75
107.10.19,FM2,菜豆-青色,104,台北二,79.5,66.8,27.2,61.4,600
107.10.19,FN1,敏豆-白豆,104,台北二,125.8,82,44.7,83.3,2839
107.10.19,FN4,敏豆-翼豆,104,台北二,15.6,14.7,12.9,14.5,404
107.10.19,FN5,敏豆-醜豆,104,台北二,116.3,82.7,45.8,82,627
107.10.19,FP1,萊豆-豆莢,104,台北二,180,166.6,130,161.9,36
107.10.19,FQ1,毛豆-豆莢,104,台北二,70,61.5,55,61.9,74
107.10.19,FQ2,毛豆-豆仁,104,台北二,210,210,210,210,50
107.10.19,FR1,青花苔,104,台北二,72.8,52,47.4,55.2,461
107.10.19,FR2,青花苔-青花筍,104,台北二,35,31.1,30,31.7,30
107.10.19,FR9,青花苔-進口,104,台北二,100,67.1,27.7,65.8,4373
107.10.19,FS1,越瓜,104,台北二,10,10,10,10,60
107.10.19,FS2,越瓜-加工,104,台北二,40,40,40,40,60
107.10.19,FT0,南瓜-其他,104,台北二,25,25,25,25,48
107.10.19,FT1,南瓜-木瓜形,104,台北二,40.1,28.3,17.5,28.5,2332
107.10.19,FT2,南瓜-圓形,104,台北二,36,31.4,25.2,31.1,578
